block_id,block_start,block_end,block_duration_h,capacity_price_input_unit,capacity_price_raw,capacity_price_EUR_per_MW_h,missing_capacity_price_flag,price_inconsistency_flag,number_of_timesteps,capacity_pricing_rule,opportunity_cost_EUR_per_MW_h,capacity_bid_price_EUR_per_MW_h,capacity_clearing_price_EUR_per_MW_h,capacity_settlement_price_EUR_per_MW_h,activation_expected,capacity_profitable,activation_profitable,technically_feasible,bid_eligible,activation_steps,price_fail_steps,missing_price_steps,min_price_margin_EUR_per_MWh,peak_activation_MW,technical_capacity_MW,compliant_capacity_MW,bid_increment_MW,reserved_capacity_MW,capacity_revenue_EUR,capacity_opportunity_cost_EUR,capacity_market_surplus_EUR,capacity_net_value_EUR,charge_headroom_MW,storage_headroom_MW,activated_energy_MWh,activation_cost_EUR
2025-05-16_16:00_20:00,2025-05-16 16:00:00+02:00,2025-05-16 20:00:00+02:00,4.0,EUR_per_MW_per_h,74.25,74.25,False,False,16,pay_as_bid,11.90774117647059,74.25,74.25,74.25,True,True,False,True,False,13,9,0,-76.22903529411765,177.608,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,201.7549721228698,10.0,365.5
2025-05-16_20:00_00:00,2025-05-16 20:00:00+02:00,2025-05-17 00:00:00+02:00,4.0,EUR_per_MW_per_h,3.41,3.41,False,False,16,pay_as_bid,0.0,3.41,3.41,3.41,True,True,False,True,False,14,10,1,-46.93903529411763,295.416,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,201.7549721228698,10.0,456.0
2025-05-17_00:00_04:00,2025-05-17 00:00:00+02:00,2025-05-17 04:00:00+02:00,4.0,EUR_per_MW_per_h,5.44,5.44,False,False,16,pay_as_bid,0.0,5.44,5.44,5.44,True,True,False,True,False,6,5,1,-68.38903529411765,15.296,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,201.6497885545971,2.5,112.72500000000001
2025-05-17_04:00_08:00,2025-05-17 04:00:00+02:00,2025-05-17 08:00:00+02:00,4.0,EUR_per_MW_per_h,4.39,4.39,False,False,16,pay_as_bid,0.0,4.39,4.39,4.39,True,True,False,True,False,11,5,0,-51.21903529411763,227.5,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,199.48778866926153,7.881,334.74781
2025-05-17_08:00_12:00,2025-05-17 08:00:00+02:00,2025-05-17 12:00:00+02:00,4.0,EUR_per_MW_per_h,97.33,97.33,False,False,16,pay_as_bid,38.880723529411775,97.33,97.33,97.33,True,True,False,True,False,15,1,0,-9.629035294117642,232.212,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,182.24026377381824,0.0,0.0
2025-05-17_12:00_16:00,2025-05-17 12:00:00+02:00,2025-05-17 16:00:00+02:00,4.0,EUR_per_MW_per_h,187.71,187.71,False,False,16,pay_as_bid,58.62346470588236,187.71,187.71,187.71,True,True,True,True,True,9,0,0,33.96096470588236,158.108,10.0,10.0,1.0,10.0,7508.400000000001,2344.9385882352944,0.0,5163.461411764706,10.0,171.82854161868767,22.5,158.15
2025-05-17_16:00_20:00,2025-05-17 16:00:00+02:00,2025-05-17 20:00:00+02:00,4.0,EUR_per_MW_per_h,62.22,62.22,False,False,16,pay_as_bid,24.25298235294118,62.22,62.22,62.22,True,True,False,True,False,11,5,1,-29.19903529411765,484.26,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,199.6455443005733,12.681000000000001,222.92054
2025-05-17_20:00_00:00,2025-05-17 20:00:00+02:00,2025-05-18 00:00:00+02:00,4.0,EUR_per_MW_per_h,3.14,3.14,False,False,16,pay_as_bid,0.0,3.14,3.14,3.14,True,True,False,True,False,13,9,0,-39.38903529411765,34.516,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,202.54996844098466,9.121,415.77931
2025-05-18_00:00_04:00,2025-05-18 00:00:00+02:00,2025-05-18 04:00:00+02:00,4.0,EUR_per_MW_per_h,4.37,4.37,False,False,16,pay_as_bid,0.0,4.37,4.37,4.37,True,True,False,True,False,15,12,0,-35.67903529411764,344.776,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,199.45623754299916,7.5,281.77500000000003
2025-05-18_04:00_08:00,2025-05-18 04:00:00+02:00,2025-05-18 08:00:00+02:00,4.0,EUR_per_MW_per_h,5.73,5.73,False,False,16,pay_as_bid,0.0,5.73,5.73,5.73,True,True,False,True,False,12,7,0,-36.839035294117636,13.456,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200.99765043130657,6.495,297.98565
