Hour;T2
4092;127,6106804
4093;127,6106804
4094;88,34585569
4095;127,6106804
4096;98,16206187
4097;46,08547506
4098;30,41641354
4099;19,35589952
4100;18,43419002
4101;18,43419002
4102;18,43419002
4103;18,43419002
4104;18,43419002
4105;31,45678411
4106;28,31110569
4107;28,31110569
4108;28,31110569
4109;28,31110569
4110;28,31110569
4111;28,31110569
4112;28,31110569
4113;28,31110569
4114;28,31110569
4115;28,31110569
4116;28,31110569
4117;28,31110569
4118;28,31110569
4119;28,31110569
4120;28,31110569
4121;28,31110569
4122;28,31110569
4123;28,31110569
4124;28,31110569
4125;28,31110569
4126;28,31110569
4127;28,31110569
4128;28,31110569
4129;28,47320634
4130;28,47320634
4131;28,47320634
4132;28,47320634
4133;28,47320634
4134;28,47320634
4135;28,47320634
4136;28,47320634
4137;28,47320634
4138;28,47320634
4139;28,47320634
4140;28,47320634
4141;28,47320634
4142;28,47320634
4143;28,47320634
4144;28,47320634
4145;28,47320634
4146;28,47320634
4147;28,47320634
4148;28,47320634
4149;28,47320634
4150;28,47320634
4151;28,47320634
4152;28,47320634
4153;19,53135261
4154;19,53135261
4155;19,53135261
4156;19,53135261
4157;19,53135261
4158;19,53135261
4159;19,53135261
4160;83,20356212
4161;93,60400739
4162;104,0044527
4163;104,0044527
4164;124,8053432
4165;124,8053432
4166;83,20356212
4167;124,8053432
4168;124,8053432
4169;72,80311686
4170;20,80089053
4171;20,50792024
4172;20,50792024
4173;20,50792024
4174;20,50792024
4175;20,50792024
4176;20,50792024
4177;13,69965139
4178;20,87565926
4179;20,87565926
4180;20,87565926
4181;20,87565926
4182;20,87565926
4183;20,87565926
4184;88,00395105
4185;98,19388222
4186;108,3838134
4187;108,3838134
4188;129,6900331
4189;129,6900331
4190;86,15123629
4191;129,6900331
4192;129,6900331
4193;76,4244838
4194;32,61821759
4195;21,52802361
4196;21,52802361
4197;21,52802361
4198;21,52802361
4199;21,52802361
4200;21,52802361
4201;20,69588375
4202;20,69588375
4203;20,69588375
4204;20,69588375
4205;20,69588375
4206;20,69588375
4207;20,69588375
