block_id,block_start,block_end,block_duration_h,capacity_price_EUR_per_MW_h,missing_capacity_price_flag,price_inconsistency_flag,number_of_timesteps,opportunity_cost_EUR_per_MW_h,activation_expected,capacity_profitable,activation_profitable,technically_feasible,bid_eligible,activation_steps,price_fail_steps,missing_price_steps,min_price_margin_EUR_per_MWh,peak_activation_MW,technical_capacity_MW,compliant_capacity_MW,bid_increment_MW,reserved_capacity_MW,capacity_revenue_EUR,charge_headroom_MW,storage_headroom_MW,activated_energy_MWh,activation_cost_EUR
2025-04-26_08:00_12:00,2025-04-26 08:00:00+02:00,2025-04-26 12:00:00+02:00,4.0,28.61,False,False,16,0.0,True,True,False,True,False,16,4,0,-17.307647058823527,481.38,16.0,16.0,1.0,0.0,0.0,0.0,237.27046502463287,44.0,-1024.12
2025-04-26_12:00_16:00,2025-04-26 12:00:00+02:00,2025-04-26 16:00:00+02:00,4.0,72.48,False,False,16,6.251764705882353,True,True,False,True,False,16,8,0,-45.92764705882353,513.192,16.0,16.0,1.0,0.0,0.0,0.0,179.29090948956485,24.0,-540.88
2025-04-26_16:00_20:00,2025-04-26 16:00:00+02:00,2025-04-26 20:00:00+02:00,4.0,22.6,False,False,16,0.0,True,True,False,True,False,12,9,0,-98.40764705882353,421.788,16.0,16.0,1.0,0.0,0.0,16.0,156.33566868472076,12.0,-568.8
2025-04-26_20:00_00:00,2025-04-26 20:00:00+02:00,2025-04-27 00:00:00+02:00,4.0,1.33,False,False,16,0.0,True,True,False,True,False,16,16,0,-91.67764705882354,275.124,16.0,16.0,1.0,0.0,0.0,16.0,193.36366682697462,0.0,0.0
2025-04-27_00:00_04:00,2025-04-27 00:00:00+02:00,2025-04-27 04:00:00+02:00,4.0,4.75,False,False,16,0.0,True,True,False,True,False,11,11,0,-227.81764705882352,7.704,16.0,16.0,1.0,0.0,0.0,16.0,230.0542530324015,0.0,0.0
2025-04-27_04:00_08:00,2025-04-27 04:00:00+02:00,2025-04-27 08:00:00+02:00,4.0,4.1,False,False,16,0.0,True,True,False,True,False,10,8,0,-122.74764705882353,37.54,14.717613561493993,14.0,1.0,0.0,0.0,0.0,238.24791825492653,0.0,0.0
2025-04-27_08:00_12:00,2025-04-27 08:00:00+02:00,2025-04-27 12:00:00+02:00,4.0,40.28,False,False,16,7.846176470588235,True,True,False,True,False,15,6,0,-27.837647058823528,214.012,14.717613561493993,14.0,1.0,0.0,0.0,0.0,122.78412995408226,0.0,0.0
2025-04-27_12:00_16:00,2025-04-27 12:00:00+02:00,2025-04-27 16:00:00+02:00,4.0,86.98,False,False,16,96.61735294117648,True,False,False,True,False,12,4,0,-48.517647058823535,252.972,14.717613561493993,14.0,1.0,0.0,0.0,0.0,14.816350531327174,0.0,0.0
2025-04-27_16:00_20:00,2025-04-27 16:00:00+02:00,2025-04-27 20:00:00+02:00,4.0,23.25,False,False,16,0.6055882352941175,True,True,False,True,False,11,9,1,-97.63764705882355,218.728,14.717613561493993,14.0,1.0,0.0,0.0,16.0,1.1532194700986877,8.0,-223.12
2025-04-27_20:00_00:00,2025-04-27 20:00:00+02:00,2025-04-28 00:00:00+02:00,4.0,1.25,False,False,16,0.0,True,True,False,True,False,16,16,0,-97.78764705882355,4.416,14.717613561493993,14.0,1.0,0.0,0.0,16.0,40.29718325431729,0.0,0.0
2025-04-28_00:00_04:00,2025-04-28 00:00:00+02:00,2025-04-28 04:00:00+02:00,4.0,3.24,False,False,16,0.0,True,True,False,True,False,4,4,1,-87.06764705882352,0.14,14.717613561493993,14.0,1.0,0.0,0.0,16.0,75.01067976274645,0.0,0.0
2025-04-28_04:00_08:00,2025-04-28 04:00:00+02:00,2025-04-28 08:00:00+02:00,4.0,4.52,False,False,16,0.0,True,True,False,True,False,14,14,1,-103.78764705882355,371.836,5.004575837004109,5.0,1.0,0.0,0.0,16.0,165.68580793075802,0.0,0.0
2025-04-28_08:00_12:00,2025-04-28 08:00:00+02:00,2025-04-28 12:00:00+02:00,4.0,27.26,False,False,16,0.0,True,True,False,True,False,16,9,0,-64.10764705882355,166.984,5.004575837004109,5.0,1.0,0.0,0.0,0.0,289.46922369939784,24.0,-317.96
2025-04-28_12:00_16:00,2025-04-28 12:00:00+02:00,2025-04-28 16:00:00+02:00,4.0,82.06,False,False,16,1.9642647058823517,True,True,False,True,False,16,5,0,-53.82764705882354,904.308,5.004575837004109,5.0,1.0,0.0,0.0,0.0,329.4563263157895,28.0,-946.48
